customerID,balance,upiID
154,22727.84,fgowar
155,24986.74,nrosling4a@
156,44847.53,gmariner4b@live
157,24043.74,aannies4c@n
158,20200.52,bmaccarte
159,12833.84,ycarsberg
160,18201.28,flafrentz4
161,22464.53,ogomar4g@pi
162,21026.67,eclague4h@
163,48170.24,kfoulsham4i@
164,16110.76,preid4j@a
165,18114.42,klanfranchi4k@mi
166,12500.32,mserfati4l
167,10460.6,dregardsoe4m@an
168,34413.84,tbagnel
169,15577.3,dyerbor
170,27604.28,zbearn4p@ge
171,26033.08,mmanchester
172,18804.3,jballendin
173,31236.18,mcarlill4s@l
174,46052.16,nconstantine4t@tec
175,14484.05,lfremantle4u@chron
176,38602.49,josmon4v@b
177,23178.93,hbrickhill4w@
178,43045.54,akalkofe
179,29471.71,esinkin
180,18639.86,anestoruk4z@m
181,46246.37,gtosh50@sou
182,34169.89,npohl51@simplem
183,22508.38,byve52@b
184,17917.58,ccowlas53
185,46745.97,bpullman54@busin
186,45094.95,afeldbau
187,49958.37,yhearn56@da
188,28625.87,hemburey57@go
189,13042.07,hthorwarth58@wunde
190,42036.87,tderisl
191,30884.1,pvenour
192,35193.47,hdyerson5
193,44413.99,whawke5c
194,26917.98,rmarkov
195,15899.89,cryla
196,35636.53,cdougharty5f@printf
197,10348.64,egresty
198,35318.87,mallcroft5h@wo
199,36814.28,ifitzsimons5i@n
200,42770.71,kdemichetti5j@prn
